name,type,active,currency_name,cik,market,primary_exchange,locale,share_class_figi,last_updated_utc,composite_figi,ticker
Agilent Technologies Inc.,CS,True,usd,0001090872,stocks,XNYS,us,BBG001SCTQY4,2026-02-23T07:06:18.830864033Z,BBG000C2V3D6,A
Alcoa Corporation,CS,True,usd,0001675149,stocks,XNYS,us,BBG00B3T3HF1,2026-02-23T07:06:18.830864665Z,BBG00B3T3HD3,AA
Alternative Access First Priority CLO Bond ETF,ETF,True,usd,0001776878,stocks,ARCX,us,BBG01B0JRCT5,2026-02-23T07:06:18.830864995Z,BBG01B0JRCS6,AAA
Amplius Aggressive Asset Allocation ETF,ETF,True,usd,,stocks,BATS,us,BBG01W275ZB5,2026-02-23T07:06:18.830865075Z,BBG01W275XX6,AAAA
Columbia AAA CLO ETF,ETF,True,usd,0001551950,stocks,ARCX,us,BBG01YZNRWV1,2026-02-23T07:06:18.830865536Z,BBG01YZNRVY0,AAAC
Goldman Sachs Physical Gold ETF Shares,ETF,True,usd,0001708646,stocks,BATS,us,BBG00LPXX8Z1,2026-02-23T07:06:18.830865616Z,BBG00LPXX872,AAAU
Artius II Acquisition Inc. Class A Ordinary Shares,CS,True,usd,0002034334,stocks,XNAS,us,,2026-02-23T07:06:18.830865827Z,,AACB
Artius II Acquisition Inc. Rights,RIGHT,True,usd,0002034334,stocks,XNAS,us,,2026-02-23T07:06:18.830865907Z,,AACBR
Artius II Acquisition Inc. Units,UNIT,True,usd,0002034334,stocks,XNAS,us,,2026-02-23T07:06:18.830866157Z,,AACBU
ATA Creativity Global American Depositary Shares,ADRC,True,usd,0001420529,stocks,XNAS,us,BBG001T125S9,2026-02-23T07:06:18.830866238Z,BBG000V2S3P6,AACG
Armada Acquisition Corp. III Units,UNIT,True,usd,0002092897,stocks,XNAS,us,,2026-02-23T07:06:18.830866318Z,,AACIU
Abony Acquisition Corp. I Units,UNIT,True,usd,0002099906,stocks,XNAS,us,,2026-02-23T07:06:18.830866408Z,,AACOU
AdvisorShares Dorsey Wright ADR ETF,ETF,True,usd,0001408970,stocks,XNAS,us,BBG001T9B1Y4,2026-02-23T07:06:18.830866488Z,BBG000BDYRW6,AADR
Alpha Architect US Equity 2 ETF,ETF,True,usd,,stocks,XNAS,us,BBG01YY0GP12,2026-02-23T07:06:18.830866568Z,BBG01YY0GN44,AAEQ
American Airlines Group Inc.,CS,True,usd,0000006201,stocks,XNAS,us,BBG005P7Q907,2026-02-23T07:06:18.830866799Z,BBG005P7Q881,AAL
Leverage Shares 2X Long AAL Daily ETF,ETF,True,usd,0001976322,stocks,XNAS,us,BBG01VH49Q06,2026-02-23T07:06:18.830867009Z,BBG01VH49P35,AALG
Atlantic American Corp,CS,True,usd,0000008177,stocks,XNAS,us,BBG001S5N8T1,2026-02-23T07:06:18.830867199Z,BBG000B9XB24,AAME
Acadian Asset Management Inc.,CS,True,usd,0001748824,stocks,XNYS,us,BBG00P2HLNZ2,2026-02-23T07:06:18.83086739Z,BBG00P2HLNY3,AAMI
"Applied Optoelectronics, Inc.",CS,True,usd,0001158114,stocks,XNAS,us,BBG001SG47G4,2026-02-23T07:06:18.83086747Z,BBG000D6VW15,AAOI
Aaon Inc,CS,True,usd,0000824142,stocks,XNAS,us,BBG001S6CZK0,2026-02-23T07:06:18.83086768Z,BBG000C2LZP3,AAON
ADVANCE AUTO PARTS INC,CS,True,usd,0001158449,stocks,XNYS,us,BBG001SD2SB2,2026-02-23T07:06:18.83086776Z,BBG000F7RCJ1,AAP
GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,ETF,True,usd,0001689873,stocks,XNAS,us,BBG0193F22H7,2026-02-23T07:06:18.830867871Z,BBG0193F21N2,AAPB
Direxion Daily AAPL Bear 1X Shares,ETF,True,usd,,stocks,XNAS,us,BBG0193YGK09,2026-02-23T07:06:18.830867961Z,BBG0193YGJ57,AAPD
